,Rooms,Furnishing,Bathroom,Tenant Preferred,Availability,Carpet Area,Floor,Price
25,"2 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor19 out of 20,"₹37,000"
26,"3 BHK Flat for Rent in Pimpri Chinchwad, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1500 sqft,Floor4 out of 6,"₹45,000"
27,"2 BHK Flat for Rent in Wadgaon Sheri, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1086 sqft,Floor2 out of 6,"₹45,000"
28,"2 BHK Flat for Rent in Wakadewadi, Shivaji Nagar, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor11 out of 11,"₹32,000"
29,"2 BHK Flat for Rent in Ambegaon, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor4 out of 5,"₹13,500"
30,"2 BHK Flat for Rent in NIBM Road, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area830 sqft,Floor12 out of 20,"₹32,000"
31,"Studio Apartment for Rent in Karvenagar, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 8,"₹15,000"
32,"2 BHK Flat for Rent in Shewalewadi, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,FloorUpper Basement out of 6,"₹7,000"
33,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor5 out of 9,"₹35,000"
34,"2 BHK Flat for Rent in Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area750 sqft,Floor9 out of 22,"₹29,000"
35,"1 BHK Flat for Rent in Hinjawadi, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area458 sqft,Floor5 out of 13,"₹22,000"
36,"1 BHK Flat for Rent in Narhe, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,Floor3 out of 5,"₹8,000"
37,"2 BHK Flat for Rent in Kaspate Wasti, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor9 out of 12,"₹30,000"
38,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1300 sqft,Floor4 out of 12,"₹50,000"
39,"1 BHK Flat for Rent in Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,,FloorGround out of 3,"₹12,000"
40,"2 BHK Flat for Rent in Punvale Bazar, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,FloorLower Basement out of 6,"₹23,000"
41,"3 BHK Flat for Rent in Pashan, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1100 sqft,Floor9 out of 11,"₹35,000"
42,"2 BHK Flat for Rent in Rambaug Colony, Kothrud, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area850 sqft,Floor3 out of 4,"₹28,000"
43,"3 BHK Flat for Rent in Dhanori, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor4 out of 11,"₹26,000"
44,"3 BHK Flat for Rent in Koregaon Park, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1450 sqft,Floor5 out of 7,"₹70,000"
45,"3 BHK Flat for Rent in Nigdi, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1210 sqft,Floor9 out of 13,"₹35,000"
46,"1 BHK Flat for Rent in Kondhwa, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,,Floor14 out of 15,"₹11,000"
47,"2 BHK Flat for Rent in Bharati Vidyapeeth Campus, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area820 sqft,Floor4 out of 7,"₹20,000"
